deliverable_id:ID(Deliverable),title,deliverableType
101046016_2_DELIVHORIZON,COVID-19 data harmonisation and standardization SOPs,"Documents, reports"
101046016_3_DELIVHORIZON,First study subject approvals packages,"Documents, reports"
101046016_41_DELIVHORIZON,Project website and social network accounts,Other
101046016_44_DELIVHORIZON,Project fact-sheet,Other
101046016_45_DELIVHORIZON,White papers on Covid-19 management,"Documents, reports"
101046016_46_DELIVHORIZON,White papers on Covid-19 and similar epidemics' management,"Documents, reports"
101046016_4_DELIVHORIZON,Midterm recruitment report,"Documents, reports"
101046016_5_DELIVHORIZON,Report on status of posting results,"Documents, reports"
101046041_35_DELIVHORIZON,Harmonization sequence collection procedures,"Documents, reports"
101046041_42_DELIVHORIZON,Harmonize and cross-validate anti-Spike and Spike-ACE2 surrogate neutralization assays,"Documents, reports"
101046041_54_DELIVHORIZON,CoVICIS' website and branding launched,"Websites, patent fillings, videos etc."
101046041_6_DELIVHORIZON,Draft Data management plan,"Documents, reports"
101046041_7_DELIVHORIZON,Update data management plan,"Documents, reports"
101046041_9_DELIVHORIZON,Establish the external scientific and ethics advisory board,"Websites, patent fillings, videos etc."
101046084_10_DELIVHORIZON,Gender Equality Plan,"Documents, reports"
101046084_14_DELIVHORIZON,QC certificate & pharmaceutical release certificate (GMP grade),"Data sets, microdata, etc"
101046084_21_DELIVHORIZON,Steering committee presentation,"Documents, reports"
101046084_25_DELIVHORIZON,Collection of clinical isolates of SARS-CoV-2 VOCs,"Documents, reports"
101046084_26_DELIVHORIZON,FBR-002 Neutralizing potency against VOC (NT50 &PRNT50),"Documents, reports"
101046084_27_DELIVHORIZON,Mutations mapping in the Spike affecting recognition by FBR-002,"Data sets, microdata, etc"
101046084_28_DELIVHORIZON,Dataset on protection of FBR-002 on VOCs in vivo,"Data sets, microdata, etc"
101046084_29_DELIVHORIZON,Assessment of the administration route providing higher FBR-002 efficacy in an animal model,"Documents, reports"
101046084_35_DELIVHORIZON,Digital communication tools,"Documents, reports"
101046084_36_DELIVHORIZON,Dissemination plan,"Documents, reports"
101046084_38_DELIVHORIZON,Webinar report,"Documents, reports"
101046084_40_DELIVHORIZON,Specific monitoring of impacts,"Documents, reports"
101046084_41_DELIVHORIZON,End-user's study,"Documents, reports"
101046084_7_DELIVHORIZON,Project handbook,"Documents, reports"
101046084_9_DELIVHORIZON,Data management plan,"Data sets, microdata, etc"
101046109_11_DELIVHORIZON,Laboratory feasibility questionnaire to collect information on laboratory capacity,"Documents, reports"
101046109_12_DELIVHORIZON,Protocols for rapid deployment of collection and transport of specimens in line with the study objectives,"Documents, reports"
101046109_26_DELIVHORIZON,"Project website and social media accounts, linked to/part of the larger ECRAID social media accounts","Websites, patent fillings, videos etc."
101046109_27_DELIVHORIZON,"Communications overview report (including overview of leaflets, newsletters, conferences brochures, videos and other communications","Documents, reports"
101046109_5_DELIVHORIZON,Master Protocol for ECRAID-Prime,"Documents, reports"
101046109_6_DELIVHORIZON,Study initiation package for first agent and first country,"Documents, reports"
101046109_7_DELIVHORIZON,Midterm recruitment report,"Documents, reports"
101046109_9_DELIVHORIZON,"Patient, healthcare professional and network coordinator experiences of taking part in, and delivering, the ECRAID-Prime APT","Documents, reports"
101046118_10_DELIVHORIZON,Study initiation package of the variant vaccine,"Documents, reports"
101046118_11_DELIVHORIZON,Mid-term recruitment report of the variant vaccine,"Documents, reports"
101046118_12_DELIVHORIZON,Report on the status of posting results of the variant vaccine,"Documents, reports"
101046118_13_DELIVHORIZON,Notification of first patient treated in Variants' clinical trial,"Documents, reports"
101046118_14_DELIVHORIZON,Biological sample logs and database with clinical information,"Documents, reports"
101046118_19_DELIVHORIZON,Regulatory strategy report,"Documents, reports"
101046118_23_DELIVHORIZON,MA&P strategy report,"Documents, reports"
101046118_24_DELIVHORIZON,Final Business plan for RBDCOV,"Documents, reports"
101046118_25_DELIVHORIZON,Project website,"Websites, patent fillings, videos etc."
101046118_26_DELIVHORIZON,Plan for the Exploitation and Dissemination of Results (PEDR),"Documents, reports"
101046118_27_DELIVHORIZON,Report on communication and dissemination activities,"Documents, reports"
101046118_28_DELIVHORIZON,Position paper in One health area,"Documents, reports"
101046118_29_DELIVHORIZON,"Report on a meeting with the VACCELERATE project, including concrete plan for collaboration","Documents, reports"
101046118_30_DELIVHORIZON,Report on the early engagement with the European Medical Agency,"Documents, reports"
101046118_31_DELIVHORIZON,Report on the participant's centric design protocol for RBDCOV,"Documents, reports"
101046118_32_DELIVHORIZON,Target communication tools,"Documents, reports"
101046118_33_DELIVHORIZON,Report on the psychosocial impact,"Documents, reports"
101046118_34_DELIVHORIZON,Toolbox with the information documents co-developed with the CAB,"Documents, reports"
101046118_35_DELIVHORIZON,Quality assurance guidelines and procedures,"Documents, reports"
101046118_36_DELIVHORIZON,Interim assessment of the Project,"Documents, reports"
101046118_37_DELIVHORIZON,Final assessment of the project,"Documents, reports"
101046118_38_DELIVHORIZON,Data Management Plan for RBDCOV project,"Documents, reports"
101046118_5_DELIVHORIZON,Data Management Plan regarding clinical data,"Data sets, microdata, etc"
101046118_6_DELIVHORIZON,Children and adolescents initiation package,"Documents, reports"
101046118_7_DELIVHORIZON,Children and adolescents Mid-term recruitment report,"Documents, reports"
101046118_8_DELIVHORIZON,Report on the status of posting results of the vaccine in children,"Documents, reports"
101046118_9_DELIVHORIZON,Notification of first patient treated in children and adolescents clinical trial,"Documents, reports"
101046133_19_DELIVHORIZON,Training catalogue,"Documents, reports"
101046133_27_DELIVHORIZON,Communication tools,"Websites, patent fillings, videos etc."
101046133_5_DELIVHORIZON,Emergency catalogue of services & minimal users' guidelines,"Documents, reports"
101046133_72_DELIVHORIZON,Policy Brief,"Documents, reports"
101046133_7_DELIVHORIZON,Consolidated ISIDORE catalogue of services & users' guidelines,"Documents, reports"
101046182_14_DELIVHORIZON,Project website,"Websites, patent fillings, videos etc."
101046182_18_DELIVHORIZON,Submission of scientific papers for publication,"Documents, reports"
101046203_10_DELIVHORIZON,D2.2. Data Access and Transfer across research domains and jurisdictions,"Documents, reports"
101046203_11_DELIVHORIZON,D2.3 Enabling data discovery at source using beacon-like mechanisms,"Documents, reports"
101046203_12_DELIVHORIZON,D2.4. Report on data sources discovery and integration for enabling data use and re-use in response to future outbreaks,"Documents, reports"
101046203_13_DELIVHORIZON,D3.1 Metadata standards,"Documents, reports"
101046203_14_DELIVHORIZON,D3.2 Tiered indexing system,"Documents, reports"
101046203_15_DELIVHORIZON,D3.3.1 COVID-19 Data Portal,"Documents, reports"
